,id,season,stage,date,match_api_id,home_team_goal,away_team_goal,home_team,away_team,league
0,1,2008/2009,1,2008-08-17,492473,1,1,KRC Genk,Beerschot AC,Belgium Jupiler League
1,2,2008/2009,1,2008-08-16,492474,0,0,SV Zulte-Waregem,Sporting Lokeren,Belgium Jupiler League
2,3,2008/2009,1,2008-08-16,492475,0,3,KSV Cercle Brugge,RSC Anderlecht,Belgium Jupiler League
3,4,2008/2009,1,2008-08-17,492476,5,0,KAA Gent,RAEC Mons,Belgium Jupiler League
4,5,2008/2009,1,2008-08-16,492477,1,3,FCV Dender EH,Standard de Liège,Belgium Jupiler League
5,6,2008/2009,1,2008-09-24,492478,1,1,KV Mechelen,Club Brugge KV,Belgium Jupiler League
6,7,2008/2009,1,2008-08-16,492479,2,2,KSV Roeselare,KV Kortrijk,Belgium Jupiler League
7,8,2008/2009,1,2008-08-16,492480,1,2,Tubize,Royal Excel Mouscron,Belgium Jupiler League
8,9,2008/2009,1,2008-08-16,492481,1,0,KVC Westerlo,Sporting Charleroi,Belgium Jupiler League
9,10,2008/2009,10,2008-11-01,492564,4,1,Club Brugge KV,KV Kortrijk,Belgium Jupiler League
10,11,2008/2009,10,2008-10-31,492565,1,2,Standard de Liège,Sporting Charleroi,Belgium Jupiler League
11,12,2008/2009,10,2008-11-02,492566,0,2,SV Zulte-Waregem,KAA Gent,Belgium Jupiler League
12,13,2008/2009,10,2008-11-01,492567,0,0,Sporting Lokeren,RAEC Mons,Belgium Jupiler League
13,14,2008/2009,10,2008-11-01,492568,2,2,FCV Dender EH,KVC Westerlo,Belgium Jupiler League
14,15,2008/2009,10,2008-11-01,492569,1,2,KV Mechelen,KSV Roeselare,Belgium Jupiler League
15,16,2008/2009,10,2008-11-01,492570,0,1,Royal Excel Mouscron,KSV Cercle Brugge,Belgium Jupiler League
16,17,2008/2009,10,2008-11-01,492571,1,3,Tubize,KRC Genk,Belgium Jupiler League
17,18,2008/2009,10,2008-11-02,492572,1,3,Beerschot AC,RSC Anderlecht,Belgium Jupiler League
18,19,2008/2009,11,2008-11-08,492573,2,3,RSC Anderlecht,Sporting Lokeren,Belgium Jupiler League
19,20,2008/2009,11,2008-11-08,492574,0,0,RAEC Mons,Royal Excel Mouscron,Belgium Jupiler League
20,21,2008/2009,11,2008-11-09,492575,2,2,Sporting Charleroi,Club Brugge KV,Belgium Jupiler League
21,22,2008/2009,11,2008-11-07,492576,2,0,KSV Cercle Brugge,SV Zulte-Waregem,Belgium Jupiler League
22,23,2008/2009,11,2008-11-08,492577,1,1,KAA Gent,FCV Dender EH,Belgium Jupiler League
23,24,2008/2009,11,2008-11-08,492578,1,2,KSV Roeselare,Tubize,Belgium Jupiler League
24,25,2008/2009,11,2008-11-08,492579,0,0,KV Kortrijk,KV Mechelen,Belgium Jupiler League
25,26,2008/2009,11,2008-11-08,492580,1,0,KVC Westerlo,KRC Genk,Belgium Jupiler League
26,27,2008/2009,11,2008-11-09,492581,1,3,Beerschot AC,Standard de Liège,Belgium Jupiler League
27,28,2008/2009,12,2008-11-16,492582,1,1,Club Brugge KV,RSC Anderlecht,Belgium Jupiler League
28,29,2008/2009,12,2008-11-15,492583,1,1,KRC Genk,KSV Roeselare,Belgium Jupiler League
29,30,2008/2009,12,2008-11-15,492584,2,2,SV Zulte-Waregem,Beerschot AC,Belgium Jupiler League
30,31,2008/2009,12,2008-11-16,492585,1,1,Sporting Lokeren,Standard de Liège,Belgium Jupiler League
31,32,2008/2009,12,2008-11-15,492586,1,0,FCV Dender EH,KV Kortrijk,Belgium Jupiler League
32,33,2008/2009,12,2008-11-15,492587,0,0,KV Mechelen,RAEC Mons,Belgium Jupiler League
33,34,2008/2009,12,2008-11-15,492588,2,1,Royal Excel Mouscron,Sporting Charleroi,Belgium Jupiler League
34,35,2008/2009,12,2008-11-15,492589,3,0,Tubize,KSV Cercle Brugge,Belgium Jupiler League
35,36,2008/2009,12,2008-11-14,492590,3,2,KVC Westerlo,KAA Gent,Belgium Jupiler League
36,37,2008/2009,13,2008-11-22,492591,2,0,RSC Anderlecht,KVC Westerlo,Belgium Jupiler League
37,38,2008/2009,13,2008-11-22,492592,3,1,Standard de Liège,Royal Excel Mouscron,Belgium Jupiler League
38,39,2008/2009,13,2008-11-22,492622,1,2,RAEC Mons,Club Brugge KV,Belgium Jupiler League
39,40,2008/2009,13,2008-11-22,492623,3,2,Sporting Charleroi,Tubize,Belgium Jupiler League
40,41,2008/2009,13,2008-11-22,492624,2,1,KSV Cercle Brugge,KV Mechelen,Belgium Jupiler League
41,42,2008/2009,13,2008-11-23,492628,2,3,KAA Gent,KRC Genk,Belgium Jupiler League
42,43,2008/2009,13,2008-11-22,492631,2,2,KSV Roeselare,FCV Dender EH,Belgium Jupiler League
43,44,2008/2009,13,2008-12-16,492636,1,0,KV Kortrijk,SV Zulte-Waregem,Belgium Jupiler League
44,45,2008/2009,13,2008-11-22,492638,0,2,Beerschot AC,Sporting Lokeren,Belgium Jupiler League
45,46,2008/2009,14,2008-11-30,492649,3,0,Club Brugge KV,Beerschot AC,Belgium Jupiler League
46,47,2008/2009,14,2008-11-29,492651,3,2,KRC Genk,KSV Cercle Brugge,Belgium Jupiler League
47,48,2008/2009,14,2008-11-29,492658,4,2,SV Zulte-Waregem,Sporting Charleroi,Belgium Jupiler League
48,49,2008/2009,14,2008-11-29,492662,4,0,KAA Gent,KSV Roeselare,Belgium Jupiler League
49,50,2008/2009,14,2008-11-28,492664,0,2,FCV Dender EH,RSC Anderlecht,Belgium Jupiler League
50,51,2008/2009,14,2008-11-30,492666,0,0,KV Mechelen,Standard de Liège,Belgium Jupiler League
51,52,2008/2009,14,2008-11-29,492670,2,0,Royal Excel Mouscron,Sporting Lokeren,Belgium Jupiler League
52,53,2008/2009,14,2008-11-29,492674,3,3,Tubize,KV Kortrijk,Belgium Jupiler League
53,54,2008/2009,14,2008-11-29,492677,2,1,KVC Westerlo,RAEC Mons,Belgium Jupiler League
54,55,2008/2009,15,2008-12-06,492683,5,1,RSC Anderlecht,Tubize,Belgium Jupiler League
55,56,2008/2009,15,2008-12-06,492686,1,2,Standard de Liège,SV Zulte-Waregem,Belgium Jupiler League
56,57,2008/2009,15,2008-12-06,492689,5,2,RAEC Mons,FCV Dender EH,Belgium Jupiler League
57,58,2008/2009,15,2008-12-06,492692,1,2,Sporting Charleroi,KV Mechelen,Belgium Jupiler League
58,59,2008/2009,15,2008-12-05,492693,3,1,KSV Cercle Brugge,KAA Gent,Belgium Jupiler League
59,60,2008/2009,15,2008-12-07,492696,2,0,Sporting Lokeren,Club Brugge KV,Belgium Jupiler League
60,61,2008/2009,15,2008-12-06,492699,1,0,KSV Roeselare,KVC Westerlo,Belgium Jupiler League
61,62,2008/2009,15,2008-12-07,492702,3,1,KV Kortrijk,KRC Genk,Belgium Jupiler League
62,63,2008/2009,15,2008-12-06,492706,3,0,Beerschot AC,Royal Excel Mouscron,Belgium Jupiler League
63,64,2008/2009,16,2008-12-14,492709,1,4,Club Brugge KV,Standard de Liège,Belgium Jupiler League
64,65,2008/2009,16,2008-12-13,492713,1,0,KRC Genk,Sporting Charleroi,Belgium Jupiler League
65,66,2008/2009,16,2008-12-13,492717,2,1,SV Zulte-Waregem,Royal Excel Mouscron,Belgium Jupiler League
66,67,2008/2009,16,2008-12-13,492720,1,1,KAA Gent,KV Kortrijk,Belgium Jupiler League
67,68,2008/2009,16,2008-12-13,492722,1,1,FCV Dender EH,Sporting Lokeren,Belgium Jupiler League
68,69,2008/2009,16,2008-12-12,492724,2,1,KV Mechelen,Beerschot AC,Belgium Jupiler League
69,70,2008/2009,16,2008-12-14,492728,0,3,KSV Roeselare,RSC Anderlecht,Belgium Jupiler League
70,71,2008/2009,16,2008-12-13,492734,2,1,Tubize,RAEC Mons,Belgium Jupiler League
71,72,2008/2009,16,2008-12-13,492735,1,2,KVC Westerlo,KSV Cercle Brugge,Belgium Jupiler League
72,73,2008/2009,17,2008-12-19,492742,2,0,RSC Anderlecht,KRC Genk,Belgium Jupiler League
73,74,2008/2009,17,2008-12-21,492745,2,1,Standard de Liège,KAA Gent,Belgium Jupiler League
74,75,2008/2009,17,2008-12-20,492746,2,2,RAEC Mons,SV Zulte-Waregem,Belgium Jupiler League
75,76,2008/2009,17,2008-12-20,492749,2,0,Sporting Charleroi,FCV Dender EH,Belgium Jupiler League
76,77,2008/2009,17,2008-12-20,492753,4,3,KSV Cercle Brugge,KSV Roeselare,Belgium Jupiler League
77,78,2008/2009,17,2008-12-20,492757,2,2,Sporting Lokeren,KV Mechelen,Belgium Jupiler League
78,79,2008/2009,17,2008-12-20,492758,5,1,Royal Excel Mouscron,Club Brugge KV,Belgium Jupiler League
79,80,2008/2009,17,2008-12-21,492760,0,0,KV Kortrijk,KVC Westerlo,Belgium Jupiler League
80,81,2008/2009,17,2008-12-20,492763,2,0,Beerschot AC,Tubize,Belgium Jupiler League
81,82,2008/2009,18,2009-01-18,492769,4,1,Beerschot AC,KRC Genk,Belgium Jupiler League
82,83,2008/2009,18,2009-01-17,492772,2,1,Sporting Lokeren,SV Zulte-Waregem,Belgium Jupiler League
83,84,2008/2009,18,2009-01-16,492775,1,2,RSC Anderlecht,KSV Cercle Brugge,Belgium Jupiler League
84,85,2008/2009,18,2009-01-17,492779,1,2,RAEC Mons,KAA Gent,Belgium Jupiler League
85,86,2008/2009,18,2009-01-17,492781,3,2,Standard de Liège,FCV Dender EH,Belgium Jupiler League
86,87,2008/2009,18,2009-01-17,492782,3,0,Club Brugge KV,KV Mechelen,Belgium Jupiler League
87,88,2008/2009,18,2009-01-17,492785,2,1,KV Kortrijk,KSV Roeselare,Belgium Jupiler League
88,89,2008/2009,18,2009-01-17,492789,1,1,Royal Excel Mouscron,Tubize,Belgium Jupiler League
89,90,2008/2009,18,2009-01-18,492792,1,2,Sporting Charleroi,KVC Westerlo,Belgium Jupiler League
90,91,2008/2009,19,2009-01-25,492798,3,1,SV Zulte-Waregem,Club Brugge KV,Belgium Jupiler League
91,92,2008/2009,19,2009-02-18,492801,1,2,KAA Gent,RSC Anderlecht,Belgium Jupiler League
92,93,2008/2009,19,2009-01-25,492804,0,1,KVC Westerlo,Standard de Liège,Belgium Jupiler League
93,94,2008/2009,19,2009-01-24,492805,2,0,KRC Genk,RAEC Mons,Belgium Jupiler League
94,95,2008/2009,19,2009-01-24,492807,3,1,KSV Roeselare,Sporting Charleroi,Belgium Jupiler League
95,96,2008/2009,19,2009-01-24,492810,2,1,Tubize,Sporting Lokeren,Belgium Jupiler League
96,97,2008/2009,19,2009-01-24,492814,2,2,KV Mechelen,Royal Excel Mouscron,Belgium Jupiler League
97,98,2008/2009,19,2009-01-24,492817,0,1,KSV Cercle Brugge,KV Kortrijk,Belgium Jupiler League
98,99,2008/2009,19,2009-01-24,492819,0,1,FCV Dender EH,Beerschot AC,Belgium Jupiler League
99,100,2008/2009,2,2008-10-29,492482,2,0,Club Brugge KV,SV Zulte-Waregem,Belgium Jupiler League
